backend,model,mode,language,category,attempts,exact_rate,pass_rate,ok_rate,parse_error_rate,non_completable_rate,incomplete_rate,semantic_mismatch_rate,timeout_rate,other_error_rate,avg_tokens,avg_seconds
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,fun,fun:boolean,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,fun,fun:function,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,fun,fun:function_application,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,fun,fun:function_arithmetic,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,fun,fun:function_closure,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,fun,fun:function_composition,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,fun,fun:function_constant,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,fun,fun:function_float,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,fun,fun:function_higher_order,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,imp,imp:arithmetic,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,imp,imp:assignment,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,imp,imp:boolean,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,imp,imp:branching,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,imp,imp:loops,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,imp,imp:mixed_control,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,imp,imp:nested_branching,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,imp,imp:sequence,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,imp,imp:while_loop,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,stlc,stlc:logic_application,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,stlc,stlc:logic_argument_order,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,stlc,stlc:logic_choice,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,stlc,stlc:logic_composition,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,stlc,stlc:logic_continuation,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,stlc,stlc:logic_contraction,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,stlc,stlc:logic_elimination,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,stlc,stlc:logic_eta,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,stlc,stlc:logic_function_result,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
